Sample,Treatment1,Treatment2,Treatment3
1,ACORNIGERA,HEALTHY,1
2,ACORNIGERA,HEALTHY,2
3,ACORNIGERA,HEALTHY,3
4,ACORNIGERA,HEALTHY,4
5,ACORNIGERA,HEALTHY,5
6,ACORNIGERA,DAMAGED,1
7,ACORNIGERA,DAMAGED,2
8,ACORNIGERA,DAMAGED,3
9,ACORNIGERA,DAMAGED,4
10,ACORNIGERA,DAMAGED,5
11,AHINDSII,HEALTHY,1
12,AHINDSII,HEALTHY,2
13,AHINDSII,HEALTHY,3
14,AHINDSII,HEALTHY,4
15,AHINDSII,HEALTHY,5
16,AHINDSII,DAMAGED,1
17,AHINDSII,DAMAGED,2
18,AHINDSII,DAMAGED,3
19,AHINDSII,DAMAGED,4
20,AHINDSII,DAMAGED,5
