Sample,Treatment1,Treatment2,Treatment3,TREATMENT
1,C,none,1-Dec,CONTROL
2,C,none,14-1,CONTROL
3,C,none,16-1,CONTROL
4,C,none,22-1,CONTROL
5,C,none,25-1,CONTROL
6,C,none,27-1,CONTROL
7,C,none,28-1,CONTROL
8,C,none,2-May,CONTROL
9,C,none,2-Sep,CONTROL
10,C,none,2-Nov,CONTROL
11,C,none,2-Dec,CONTROL
12,Xcc,high,15-1,BIOTIC
13,Xcc,med,16-1,BIOTIC
14,Xcc,low,19-1,BIOTIC
15,Xcc,low,23-1,BIOTIC
16,Xcc,med,25-1,BIOTIC
17,Xcc,high,26-1,BIOTIC
18,Xcc,med,28-1,BIOTIC
19,Xcc,low,2-May,BIOTIC
20,Xcc,low,2-Aug,BIOTIC
21,Xcc,med,2-Sep,BIOTIC
22,Xcc,med,2-Nov,BIOTIC
23,Xci,none,14-1,BIOTIC
24,Xci,none,15-1,BIOTIC
25,Xci,none,16-1,BIOTIC
26,Xci,none,22-1,BIOTIC
27,Xci,none,23-1,BIOTIC
28,Xci,none,26-1,BIOTIC
29,Xci,none,27-1,BIOTIC
30,Xci,none,2-Jun,BIOTIC
31,Xci,none,2-Aug,BIOTIC
32,Xci,none,2-Dec,BIOTIC
33,Xcc+P,high,1-Dec,BIOTIC
34,Xcc+P,med,15-1,BIOTIC
35,Xcc+P,low,19-1,BIOTIC
36,Xcc+P,med,22-1,BIOTIC
37,Xcc+P,low,25-1,BIOTIC
38,Xcc+P,high,26-1,BIOTIC
39,Xcc+P,high,27-1,BIOTIC
40,Xcc+P,med,28-1,BIOTIC
41,Xcc+P,med,2-May,BIOTIC
42,Xcc+P,low,2-Jun,BIOTIC
43,Xcc+P,low,2-Aug,BIOTIC
44,Xcc+P,med,2-Nov,BIOTIC
45,Xci+P,none,14-1,BIOTIC
46,Xci+P,none,16-1,BIOTIC
47,Xci+P,none,19-1,BIOTIC
48,Xci+P,none,22-1,BIOTIC
49,Xci+P,none,23-1,BIOTIC
50,Xci+P,none,25-1,BIOTIC
51,Xci+P,none,27-1,BIOTIC
52,Xci+P,none,2-Jun,BIOTIC
53,Xci+P,none,2-Aug,BIOTIC
54,Xci+P,none,2-Sep,BIOTIC
55,Xci+P,none,2-Dec,BIOTIC
56,P,none,14-1,BIOTIC
57,P,none,15-1,BIOTIC
58,P,none,19-1,BIOTIC
59,P,none,23-1,BIOTIC
60,P,none,26-1,BIOTIC
61,P,none,28-1,BIOTIC
62,P,none,2-Jun,BIOTIC
63,P,none,2-Sep,BIOTIC
64,P,none,2-Nov,BIOTIC
65,P,none,2-Dec,BIOTIC
